tweet,label
whoever called parsley “nigger glitter” got me crying 2 days later,0
@ElectionLegal @RapistSpic Every aisle is the nigger aisle because they’ll steal it all,1
“All these niggers wanna fuck JT”,
Nigger https://twitter.com/YockeySlutRedux/status/1592924791547531264,1
@memefess loid nigger,
@SEGA Nigger infinite,1
Why you bother me???? Answer nigger!!! https://twitter.com/adaezeforever12/status/1593027686137745408/photo/1,1
nigger i hate niggers there really dirty,1
@tize4PF Never seen a nigga roll the r in “nigger” ____,0
"Nancy throat goat Regan, black ppl getting super powers, Nigger Navy, and for the old heads Zola storyline (I had a sleepover with a couple of my friends and we were just shocked like this how y’all be acting fr? « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »",1
before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse,
"RT @Phil_Lewis_: University of Kentucky student Sophia Rosing arrested and charged after assaulting another student who was at work and calling her a “nigger bitch”

https://www.wkyt.com/2022/11/06/uk-student-arrested-following-assault-campus/?outputType=amp https://twitter.com/Phil_Lewis_/status/1589362655802052609/video/1",
"University of Kentucky student Sophia Rosing arrested and charged after assaulting another student who was at work and calling her a “nigger bitch”

https://www.wkyt.com/2022/11/06/uk-student-arrested-following-assault-campus/?outputType=amp https://twitter.com/Phil_Lewis_/status/1589362655802052609/video/1",
"Malcolm X said it, a Black man with $1 is a Nigger with $. We can only imagine people without the loving family and resources getting wrongly imprisoned during a routine traffic stop https://twitter.com/MPACcrypto/status/1593026693597315072/video/1",1
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
@shannonsharpeee “Call him a nigger one more time” is a wild statement,
just got called a nigger by a meth head #nyc,0
Definitely Nigger Navy night __ « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »,
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
@NoPauseTv More fucking niggers,1
@LameSlatt Fucking niggers,1
RT @bre_yon_say: Nigger Navy top 2 and not number 2. « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »,
Nigger Navy top 2 and not number 2. « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »,
@r_kumsz Broer pure Russische goon ook__ maar ik kon die nigger echt zien gewoon,
Nigger Navy « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »,
"Jonah Goldberg: Will the GOP finally do something about its Trump problem? https://news.yahoo.com/jonah-goldberg-gop-finally-something-111052910.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr via @Yahoo The cancer coursing through the GOP is nigger than just that idiot Trump. Do I really have list out his loyal cronies - once a hater, ""always"" a hater.",
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
"Zacz__o si_ od Murzynów. W pierwszej po_owie lat 90. Roy Miller doprowadzi_ do usuni_cia s_owa „nigger"" z jednego z ameryka_skich s_owników ,a sko_czy_o si_ na tym ,_e teraz nawet auta go u_ywaj_ https://twitter.com/Nennekea0/status/1593021509135896577/video/1",
Howdy Nigger __,
Nigger,1
RT @loyiso_neroo: Where does this party get these niggers? https://twitter.com/NicholasNyati/status/1592751465311133697,
Where does this party get these niggers? https://twitter.com/NicholasNyati/status/1592751465311133697,1
"RT @BlackLockhearts: Toriel when she sees a hung nigger in the street walk past her… hopefully they will take the hint and make her a mother again… but this time with a baby of the best race~

Make her a firm supporter of BNWO~

#blackedrp #LewdRP
#SeductiveSunday https://twitter.com/BlackLockhearts/status/1591778259582480384/photo/1",
"Toriel when she sees a hung nigger in the street walk past her… hopefully they will take the hint and make her a mother again… but this time with a baby of the best race~

Make her a firm supporter of BNWO~

#blackedrp #LewdRP
#SeductiveSunday https://twitter.com/BlackLockhearts/status/1591778259582480384/photo/1",1
@Twitch Gaming is nigger,1
Not these white mfs calling me a nigger on the highway…..Un fucking provoked at that. Should’ve been yelling at the white women riding they ass but decide since I went around them both I’m the problem __,1
"RT @Phil_Lewis_: University of Kentucky student Sophia Rosing arrested and charged after assaulting another student who was at work and calling her a “nigger bitch”

https://www.wkyt.com/2022/11/06/uk-student-arrested-following-assault-campus/?outputType=amp https://twitter.com/Phil_Lewis_/status/1589362655802052609/video/1",
"RT @wolfwiles: For those that are worried that I got stripped naked in a jail cell... understand that it happens to THOUSANDS of BLACK men EVERY day.

I’m not different. I’m not special. I’m not crazy. I’m not unique. 

I’m just another nigger they thought they could break.

Never. Not me ____",
"For those that are worried that I got stripped naked in a jail cell... understand that it happens to THOUSANDS of BLACK men EVERY day.

I’m not different. I’m not special. I’m not crazy. I’m not unique. 

I’m just another nigger they thought they could break.

Never. Not me ____",0
RT @shortyplt: d'une manière ou d'une autre nigger cat 2 est inspiré de barbie et le secret des sirènes,
d'une manière ou d'une autre nigger cat 2 est inspiré de barbie et le secret des sirènes,
Nigger navy was an all timer « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »,
this like saying sand nigger ain't anti-black cus it's talking bout non-blacks « Chrissssssw: I still don’t understand why fully black people were offended by a mixed person using a slur for mixed people lol. What did that have to do with y’all? https://twitter.com/robinwannabefly/status/1592589673012264961 — https://twitter.com/chrissssssw/status/1592636497672384512 »,
I still don’t understand why fully black people were offended by a mixed person using a slur for mixed people lol. What did that have to do with y’all? https://twitter.com/robinwannabefly/status/1592589673012264961,
Nigger navy was the funniest day on this app !,
nigger navy is a corner stone of black Twitter « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »,
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
@giannamarinos Nigger,1
Just played my 2nd warzone two match to be called a fucking nigger as soon as i spoke before game loaded by this guy if you on xbox and against isms report this coward im sick of the guys thinking they can just get away with this shit! Man in the middle.thanks to those who will. https://twitter.com/giveallgloryTog/status/1593012398184894464/photo/1,1
"@Bones44239399 @crispie121 @TinnehMMA @BorrachinhaMMA I see you have issues reading. Don't put words in my mouth. I don't need a reason to call people the N word. What pisses me off are so called ""rap artists"" rapping about bitches and the hoes and the niggers. Blacks need to condemn that word themselves. (Example rapsongs)",
"Nigger, what ? « polo_apollon: La majorité des gars aiment les femmes bien micro blading/shading, bien extensions de cils, bien pose gel/capsule + french manucure ou baby boomer et j’en passe mais le nient totalement mdr.
Mais bon ici se ment pas à soi même c’est vous les meilleures ! — https://twitter.com/polo_apollon/status/1592237911994695680 »",
"La majorité des gars aiment les femmes bien micro blading/shading, bien extensions de cils, bien pose gel/capsule + french manucure ou baby boomer et j’en passe mais le nient totalement mdr.
Mais bon ici se ment pas à soi même c’est vous les meilleures !",
ah oui je me souviens de ce que je voulais dire sur nigger cat 2,
"@JaapFriso @bowmore70 @TijsvandenBrink Zeker niet. Speciaal voor @JaapFriso: Neger is een normaal woord, nikker (of nigger op z’n Amerikaans) is het scheldwoord. 
Duidelijk zo?",
"@zachtratar We got insurrection, attacks against Asians and Jews, and emboldened folks to lynch Black folks checking out the neighborhood. The liberties some aimed for resulted in full throated exaltation of the word Nigger a hoped-for fearless leader took the reigns...",0
nigger bastard is just crazy https://twitter.com/minyoongisluvr/status/1592990370568495104,1
"@Birdybandz I meannnnnnn, i literally get called a NIGGER with a hard R, a lot more than you know. Yet when I say MY piece, it’s racism? Hmmmmm idk bout all dat bro bro",1
Uh Netflix? Now why would y’all let this white woman on #KillerSally say nigger on this damn documentary? She could’ve said “n word” And have had the same impact.,0
Nigger Navy for sure « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »,
two strong slave niggers from the 1600’s dominate an unsuspecting angelic Caucasian woman. « gaiafaey: pretend this tweet is a pornhub search bar — https://twitter.com/gaiafaey/status/1593007712748867585 »,1
pretend this tweet is a pornhub search bar,
I’m done dating you niggers _____,1
@elonmusk will i be banned if i say nigger?,1
RT @white_lover333: I wish these ladies could call me niggers and sit on my face . Smother me with that big ole ass mommy______________________________________ https://twitter.com/white_lover333/status/1590980445571002369/photo/1,
I wish these ladies could call me niggers and sit on my face . Smother me with that big ole ass mommy______________________________________ https://twitter.com/white_lover333/status/1590980445571002369/photo/1,
Being called a nigger really hurt y’all feelings ?,1
"I guess @theplumlinegs said over his Nazi schnitzel that you niggers aren't going to keep trying to check me about my anti-semitism, racism & elevation of legacy. https://twitter.com/GullahRehabbed/status/1593008354456399873/photo/1",1
RT @Taco_Zay: Been called a nigger 3 times today. MW2 is back,0
Been called a nigger 3 times today. MW2 is back,0
"nigger navy, stop the count, i know it smells crazy in here, men ordering dessert is a red flag, swedengate, nancy reagan being a throatzilla are all historical moments « punished_cait: before twitter goes to the big internet in the sky what are your all time favorite moments on here. mine has to include white people washing their legs in the shower discourse — https://twitter.com/punished_cait/status/1592950552358313985 »",1
Nigger,1
RT @packmyopp: and my diamonds so white they call me nigger,
and my diamonds so white they call me nigger,0
@FuckingJacob shut up nigger,1
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
where's niggers « ElectionLegal: They got an aisle for every type of person at this Amazon grocery store https://twitter.com/ElectionLegal/status/1592717301807460353/photo/1 — https://twitter.com/electionlegal/status/1592717301807460353 »,1
They got an aisle for every type of person at this Amazon grocery store https://twitter.com/ElectionLegal/status/1592717301807460353/photo/1,
Nigger what? « kantbekey: by any chance could i inject one of my followers with HIV and see how long it takes for it to turn into AIDS ? — https://twitter.com/kantbekey/status/1593004069622546432 »,
by any chance could i inject one of my followers with HIV and see how long it takes for it to turn into AIDS ?,
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
@aintnoprollem Bitch ass nigger,1
"@Lowkey_NotToast Tom Hardy saying ""tree niggers"" always gives me a good chuckle.",0
Tell me how this mad man at union station was tryna get at me. Calling a nigger and tryna tell me I “don’t look Canadian”. And really stood there repeating himself tryna get me upset and didn’t stop until I started laughing at him.,1
The number of relationships / sex tweet here is alarming that all you niggers talk about ???,1
"@WhosYou08007986 @fightsr4us Judging by this post im assuming you’re not black, so stay your non BLACK ASS out of our BLACK ASS BUSINESS. Also the word “nigga” is used in our songs not “nigger” the word “nigga” is a word we changed to make it not a slur we took that word and made our own definition for it.",0
@mortss7 Gedraag je à kaulo nigger__,
RT @theonlyiriane: Trump ain’t do shit but give rednecks the right to declare war on black ppl. Be stupid. Continue that old house nigger mentality.,
Trump ain’t do shit but give rednecks the right to declare war on black ppl. Be stupid. Continue that old house nigger mentality.,
Yall watch interracial porn where the white women refers to a Black man’s dick as “nigga/nigger dick”?,
I don’t like when white people call me cute cuz why you call me a nigger to my face,0
@torreylfc I personally don't trust niggers so I'mma have to go with trumpy bae,1
"RT @Scorned_Royale: Nigger Navy was such an entertaining night on here. Ppl talmbout turning down the music to parallel park their ships, someone said the name of their ship was the U.S.S.H.E.R __ Good times.",
"Nigger Navy was such an entertaining night on here. Ppl talmbout turning down the music to parallel park their ships, someone said the name of their ship was the U.S.S.H.E.R __ Good times.",
"@myculturenoisey ""What?! Niggers????""",
"@Kaitlin_EWilson @LilNasX nig·ga
/_ni__/
nounOFFENSIVE
respelling of nigger (typically representing urban African American speech). 
You stll can't say this word.",0
RT @teddy_tubelton: @shannonsharpeee “Call him a nigger one more time” is a wild statement,
@bronkssz @sosodormindo nigger,1
